ZhuanwangCenter5750#show arp vlan 302
Protocol  Address          Age(min)  Hardware        Type   Interface               
Internet  10.200.12.235    0         00d8.61ac.cb31  arpa   VLAN 302                
Internet  10.200.12.237    59        0004.a321.5905  arpa   VLAN 302                
Internet  10.200.12.238    59        0004.a321.5904  arpa   VLAN 302                
Internet  10.200.12.239    0         78ca.8340.6d0b  arpa   VLAN 302                
Internet  10.200.12.240    4         0004.a321.5902  arpa   VLAN 302                
Internet  10.200.12.241    39        0004.a321.5901  arpa   VLAN 302                
Internet  10.200.12.242    0         bcba.c263.515a  arpa   VLAN 302                
Internet  10.200.12.243    2         00d8.61ac.cd16  arpa   VLAN 302                
Internet  10.200.12.244    0         78ca.8340.6edf  arpa   VLAN 302                
Internet  10.200.12.245    59        0004.a311.0005  arpa   VLAN 302                
Internet  10.200.12.246    59        0004.a311.0004  arpa   VLAN 302                
Internet  10.200.12.247    9         0004.a311.0003  arpa   VLAN 302                
Internet  10.200.12.248    59        0004.a311.0002  arpa   VLAN 302                
Internet  10.200.12.249    4         0004.a311.0001  arpa   VLAN 302                
Internet  10.200.12.250    0         78ca.8345.0646  arpa   VLAN 302                
Internet  10.200.12.251    0         78ca.8340.7115  arpa   VLAN 302    
